rank_2020,company,usa_primary,usa_uei,usa_link,alt_names_and_children
1,Lockheed Martin Corp.,F,FFJ2NXJMDL87,https://www.usaspending.gov/recipient/32fbd075-c289-c97d-53d2-6714d586ac95-P/latest,
1,Lockheed Martin Corp.,F,SLBKLUGC4N84,https://www.usaspending.gov/recipient/3ea2667c-a457-1aa6-f2e9-0806505eb90e-P/latest,
1,Lockheed Martin Corp.,F,T1VJHAKNHWV5,https://www.usaspending.gov/recipient/86d6777b-0c6b-d12a-865e-55a163b60029-P/latest,
1,Lockheed Martin Corp.,F,J4NAS77CSET3,https://www.usaspending.gov/recipient/84da7fae-9aab-d5ba-0b72-e25c395bf066-P/latest,
1,Lockheed Martin Corp.,F,LJDGB6CXKRK5,https://www.usaspending.gov/recipient/95b69f1c-85e3-2053-a88c-84dad8edd667-P/latest,
1,Lockheed Martin Corp.,F,J249UW36DUW1,https://www.usaspending.gov/recipient/976c081d-eb1c-ecf5-6453-4b456cce8bbe-P/latest,
1,Lockheed Martin Corp.,F,H5THT9JY8SS7,https://www.usaspending.gov/recipient/9bcfe6c0-5ae2-2702-f14a-451218c59dfc-P/latest,
1,Lockheed Martin Corp.,F,PUETYBNR91Z3,https://www.usaspending.gov/recipient/a5b2de24-6fc9-74e0-b942-e623336c523b-P/latest,
1,Lockheed Martin Corp.,F,YKSEFFYMM8X5,https://www.usaspending.gov/recipient/a78d935a-6fca-386a-a6f9-5dd0e13dd00b-P/latest,
1,Lockheed Martin Corp.,F,JXMYEM6CMRU6,https://www.usaspending.gov/recipient/a7ce2fd2-8673-7ff7-0011-061a7cb1f16c-P/latest,
1,Lockheed Martin Corp.,F,XZ1LAKB6BP65,https://www.usaspending.gov/recipient/a80926e5-23e9-4d42-3fc2-40ce829236ec-P/latest,
1,Lockheed Martin Corp.,F,WA8WVFJ5AWR8,https://www.usaspending.gov/recipient/af145d75-4780-8551-47d0-760b5a242561-P/latest,
1,Lockheed Martin Corp.,F,FC23EWYF5KN9,https://www.usaspending.gov/recipient/b24ac951-14bc-2ca5-6b8e-96f63244f2ed-P/latest,
1,Lockheed Martin Corp.,F,LTYUHQHXRJ35,https://www.usaspending.gov/recipient/c075c1e3-0766-7e6b-adb1-d9213a33fa9d-P/latest,
1,Lockheed Martin Corp.,F,WB78SU9XN471,https://www.usaspending.gov/recipient/cbed720c-6c7b-0e95-d6bf-fa8a3ef09f27-P/latest,
1,Lockheed Martin Corp.,F,HFNEBQJ7HCA3,https://www.usaspending.gov/recipient/cda1f3c0-743d-2328-0b80-72b7ba645956-P/latest,
1,Lockheed Martin Corp.,F,JQXXW7LLLSE4,https://www.usaspending.gov/recipient/09a0a62d-af85-c051-037e-1ce78b1a7fc0-P/latest,
1,Lockheed Martin Corp.,F,FFCACKWGH4W9,https://www.usaspending.gov/recipient/0bb5ced2-ab03-b037-69f1-7153e080ccf9-P/latest,
1,Lockheed Martin Corp.,F,LHKDVHKNCES3,https://www.usaspending.gov/recipient/0d5e3d40-f011-f507-c0ac-94bfc8c41a3e-P/latest,
1,Lockheed Martin Corp.,F,PJMHBR195YQ5,https://www.usaspending.gov/recipient/0d77d728-c907-8725-d4c8-8def9650f793-P/latest,
1,Lockheed Martin Corp.,F,U19MJBQXBQM5,https://www.usaspending.gov/recipient/15b86902-7929-9101-47c2-10b8c55d15ab-P/latest,
1,Lockheed Martin Corp.,F,NMTHV5KN3FC5,https://www.usaspending.gov/recipient/24ee5a76-766c-f5fc-80e4-797e2e624387-P/latest,
1,Lockheed Martin Corp.,F,FFJ2NXJMDL87,https://www.usaspending.gov/recipient/32fbd075-c289-c97d-53d2-6714d586ac95-P/latest,
