"TIV of arms exports from Canada, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
Cuba,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,4,12
Denmark,,3,,,,25,,,,,,,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,,,,,,,,,18,,36,,,,,,,,,,,,,,,,,,,,,182
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
Dominican Republic,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,3,,,,,,,,,,,,7
DR Congo,,,,,,,,,,,,,,,,,3,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,13,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,1,6,,,,,,,,70
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,5,2,6,5,3,,7,,,,,,,,,,,,,,,,,,,,,6,2,10,8,8,16,,,,,,209
Ethiopia,,,,,7,,,,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Finland,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,7
France,,,,,81,,,,,16,15,15,15,,,,,,,,,,,1,2,2,3,3,6,10,2,6,4,3,,,,,,,8,18,15,16,15,18,7,7,,,,,,,,,,,,,,,,,,,,,10,1,,,295
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Germany,,,,,,,110,225,110,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,3,501
Ghana,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,,,,,,55
Greece,,,,,,23,,,28,28,,,,,,,,,,,,,,,,,,,,5,,5,5,,7,,,,,,,,,,,,,,,,2,6,8,8,20,20,,,,,,,,,,,,,,,,,162
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,9
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
India,,,,,,,5,8,8,,,,,17,56,,,2,15,,,,,,,,,,,,,,,,,5,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,15,13,90,,,,,,,254
Indonesia,,,,,,,,,2,1,2,0,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,3,,1,,1,2,,,1,10,6,6,6,2,,,,,3,59
Iran,,,,,,2,,,,,1,,,,,,,,,,,,,12,,78,93,29,5,5,,,,,18,,,,,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254
Iraq,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,18,,5,10,10,20,4,2,,,,,,,,,,,,,,,0,0,1,0,2,6,,,,,,,,,,,,86
Ireland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,29,,29,,,4,,,,,,,,,,,,,,,,,,67
Israel,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,1,1,,,,,,,,,,24
Italy,,,,,,,,,,,,,,,,,,,,,,,1,1,2,8,9,9,9,9,9,9,9,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,92
